,ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
44587,SKLC,medium_airport,Antonio Roldan Betancourt Airport,46.0,SA,CO,CO-ANT,Carepa,SKLC,APO,APO,"7.81196, -76.7164"
44588,SKLG,small_airport,Caucaya Airport,573.0,SA,CO,CO-PUT,Puerto Leguízamo,SKLG,LQM,LQM,"-0.182278, -74.7708"
44589,SKLM,medium_airport,Jorge Isaac Airport,281.0,SA,CO,CO-LAG,La Mina-Maicao,SKLM,MCJ,LMA,"11.2325, -72.4901"
44590,SKLP,small_airport,La Pedrera Airport,590.0,SA,CO,CO-AMA,La Pedrera,SKLP,LPD,LPD,"-1.32861, -69.5797"
44591,SKLT,medium_airport,Alfredo Vásquez Cobo International Airport,277.0,SA,CO,CO-AMA,Leticia,SKLT,LET,LET,"-4.19355, -69.9432"
44593,SKMD,medium_airport,Enrique Olaya Herrera Airport,4949.0,SA,CO,CO-ANT,Medellín,SKMD,EOH,EOH,"6.220549, -75.590582"
44595,SKMF,small_airport,Miraflores Airport,730.0,SA,CO,CO-GUV,Miraflores,SKMF,MFS,MFS,"1.35, -71.9444"
44596,SKMG,medium_airport,Baracoa Airport,178.0,SA,CO,CO-BOL,Magangué,SKMG,MGN,MGN,"9.28474, -74.8461"
44598,SKML,small_airport,Montelibano Airport,160.0,SA,CO,CO-COR,Montelíbano,SKML,MTB,MTB,"7.97174, -75.4325"
44601,SKMR,medium_airport,Los Garzones Airport,36.0,SA,CO,CO-COR,Montería,SKMR,MTR,MTR,"8.82374, -75.8258"
