Número de Ticket,Status,Destino,Humedad,Temperatura,Temperatura Minima,Temperatura Máxima,Presión Atmosférica
389,Petición completada,pergamino,53,286.36,284.26,287.59,53
390,Petición completada,diebougou,86,297,297,297,86
391,Petición completada,mariano moreno,50,281.36,281.36,281.36,50
392,Petición completada,carnot,95,292.9,292.9,292.9,95
393,Petición completada,cibunar,63,298.53,298.53,298.53,63
394,Petición completada,satsumasendai,88,293.15,293.15,293.15,88
395,Petición no completada,wangqingtuo,undefined,undefined,undefined,undefined,undefined
396,Petición no completada,qunsheng,undefined,undefined,undefined,undefined,undefined
397,Petición completada,bayan gol,50,289.17,289.17,289.17,50
398,Petición completada,envigado,93,287.36,285.93,289.15,93
399,Petición completada,pinas,70,292.14,292.14,292.14,70
400,Petición completada,walenrang,54,304.71,304.71,304.71,54
401,Petición completada,sergelen,58,279.87,279.87,279.87,58
402,Petición completada,badama,42,291.93,290.15,293.15,42
403,Petición completada,maripa,87,298.84,298.84,298.84,87
404,Petición completada,kiikala,96,285.01,284.82,285.37,96
405,Petición completada,gaoyu,59,293.23,291.48,295.37,59
406,Petición completada,kotovsk,99,289.02,289.02,289.02,99
407,Petición completada,the valley,83,300.81,300.37,301.15,83
408,Petición completada,pondokunyur,68,301.32,301.32,301.32,68
409,Petición completada,qiulu,54,296.61,296.61,296.61,54
410,Petición no completada,gostime,undefined,undefined,undefined,undefined,undefined
411,Petición completada,bello,93,287.49,285.93,289.15,93
412,Petición no completada,cerava,undefined,undefined,undefined,undefined,undefined
413,Petición completada,besisahar,45,297.67,297.67,297.67,45
414,Petición completada,krynychky,58,286.04,285.93,286.15,58
415,Petición no completada,les sablesdolonne,undefined,undefined,undefined,undefined,undefined
416,Petición no completada,smiowo,undefined,undefined,undefined,undefined,undefined
417,Petición completada,sidoaji,61,300.51,300.51,300.51,61
418,Petición completada,zheyuan,80,293.15,293.15,293.15,80
419,Petición no completada,tangguhang,undefined,undefined,undefined,undefined,undefined
420,Petición completada,sumurgung,58,302.94,302.94,302.94,58
421,Petición no completada,puan selatan,undefined,undefined,undefined,undefined,undefined
422,Petición completada,daegu,52,292.15,292.15,292.15,52
423,Petición completada,las matas de farfan,84,294.16,294.16,294.16,84
424,Petición completada,galaz,29,296.19,296.19,296.19,29
425,Petición completada,zaokskiy,45,285.5,285.5,285.5,45
426,Petición completada,saipan,79,303.26,302.15,304.15,79
427,Petición completada,grand rapids,66,282.92,280.93,285.15,66
428,Petición completada,sandovo,85,284.06,284.06,284.06,85
429,Petición completada,shanglu,72,292.24,292.24,292.24,72
430,Petición completada,lousado,100,288.06,286.15,289.26,100
431,Petición no completada,lamalewo,undefined,undefined,undefined,undefined,undefined
432,Petición completada,bomadi,95,296.84,296.84,296.84,95
433,Petición completada,ciervo petiso,57,295.54,295.54,295.54,57
434,Petición completada,bamban,74,302.15,302.15,302.15,74
435,Petición completada,gornyye klyuchi,55,287.26,287.26,287.26,55
436,Petición completada,kyaikto,77,301.17,301.17,301.17,77
437,Petición completada,tacoma,93,287.83,286.15,289.15,93
438,Petición completada,la lima,69,300.83,300.37,301.15,69
439,Petición no completada,feteira pequena,undefined,undefined,undefined,undefined,undefined
440,Petición completada,san miguel,94,296.67,296.67,296.67,94
441,Petición completada,liaozhong,52,292.15,292.15,292.15,52
442,Petición completada,kiupo,62,303.15,303.15,303.15,62
443,Petición completada,vyshneye dolgoye,54,283.33,283.33,283.33,54
444,Petición completada,gaplokan,55,302.99,302.99,302.99,55
445,Petición completada,gorican,99,279.85,278.71,280.93,99
446,Petición completada,marmande,92,285.67,284.82,287.04,92
447,Petición completada,raszczyce,91,282.41,281.48,283.15,91
448,Petición completada,aibura,74,300.52,300.52,300.52,74
449,Petición completada,jankowice,61,281.3,279.82,282.04,61
450,Petición completada,nanjia,50,288.81,288.81,288.81,50
451,Petición completada,junqueiro,96,294.05,294.05,294.05,96
452,Petición completada,hannover,93,283.93,283.15,284.26,93
453,Petición completada,cibingbin,53,303.38,303.38,303.38,53
